manly had:0.5
<s> colonel:0.000335478
себе розкаже:0.0434783
й озвалася:0.0035461
the rock:0.000123908
to risk:0.000136743
and beyond:0.000240096
keeper and:0.0833333
тобі про:0.0416667
ring and:0.0769231
exclaimed wincing:0.047619
offers a:0.166667
pardon and:0.111111
to manhood:0.000136743
prove </s>:0.238095
which brought:0.00132626
ensured </s>:1
голосно вигукнула:0.2
the moment:0.000867356
an author:0.00116279
ancillæ or:1
він тобі:0.00884956
not before:0.000711744
figure clearly:0.0357143
life which:0.0167364
shamefully hopelessly:1
ringlets and:0.666667
<s> зроду:1.9734e-05
shelf over:1
якось трохи:0.222222
loved her:0.0909091
<s> declaration:1.9734e-05
bagley shall:0.5
simpson </s>:0.375
нечерепаховий суп:1
giddy </s>:0.666667
on saying:0.00077821
тогочасною англією:1
amount in:0.0434783
reeling and:0.333333
нема дурних:0.0526316
little cricket:0.00481928
that xxs:0.000298597
bag supposed:0.0833333
ні відповіла:0.0192308
вони й:0.0384615
overcrowding became:0.5
так щоб:0.015748
<s> thought:0.000828827
not yet:0.0135231
errand </s>:0.4
глузду сказав:0.2
під вартою:0.0322581
heavy burthen:0.0333333
confused deprecation:0.2
with remarked:0.000488043
themselves upon:0.0194175
to glorify:0.000273486
королеви пошепки:0.0909091
barclay of:0.0344828
installment agent:0.333333
some factors:0.0018622
королівського подружжя:1
are slightly:0.00117096
що їм:0.00257732
hare she:0.03125
might learn:0.00429185
invariably marries:0.333333
відсапуючись озвалася:1
крокетистів усі:1
ні крокетистів:0.0192308
kavarsky sermonized:0.0243902
then came:0.0126582
printed as:0.0344828
of furmity:0.000106758
майданчику не:0.5
якихось півгодини:1
its results:0.00796813
clear from:0.0140845
was it:0.00840598
newly set:0.25
picnics </s>:1
мусили розлучатися:1
ruine your:0.5
звичайно мусили:0.0833333
lewdlie spent:1
greater completeness:0.027027
inspector forrester:0.0140845
цього звичайно:0.0357143
is noted:0.00102512
queer everything:0.05
you cull:0.000418585
на смерть:0.00294118
moment later:0.0357143
criminal in:0.0526316
гравцями і:1
будинком під:1
з гравцями:0.00393701
fury said:0.142857
communications for:1
other visions:0.00181488
new world:0.0143885
згаяна хвилина:1
apprenticehood then:1
has been:0.279736
yeare as:0.0833333
an extensive:0.00232558
life his:0.0083682
spoken of:0.222222
кожна згаяна:1
apothecaries or:0.0714286
selling them:0.0322581
year in:0.0128205
whose was:0.0253165
що кожна:0.00257732
pugilistic encounter:1
of correct:0.000213516
вийде рано:0.5
<s> посередині:3.9468e-05
вона з'явилася:0.00352113
га старий:0.5
в холодочку:0.00452489
18d 2s:0.5
слова паразита:0.05
curiosity sake:0.0714286
woman before:0.00373134
court and:0.0454545
a situation:0.000510812
insolvency </s>:0.5
відсутності королеви:1
compare with:0.4
put them:0.00840336
сидів роззявивши:0.111111
jake handed:0.005
<s> appeal:1.9734e-05
infant and:0.0833333
себе чхаючи:0.0434783
баків </s>:1
peter alle:0.0555556
third or:0.0227273
до майданчика:0.00512821
inch </s>:0.333333
low trembling:0.0384615
підборіддя було:0.333333
нею до:0.0909091
<s> him:0.000848561
щодня </s>:1
до суцільних:0.00512821
слова подалася:0.05
hear you:0.0327869
манери </s>:1
<s> _fees_:3.9468e-05
preface alone:0.0588235
and inclosures:0.000120048
compels the:1
one at:0.00444939
the highwaies:6.1954e-05
<s> boarder:1.9734e-05
woollen manufactory:0.04
_ladas_ kept:0.333333
й слова:0.0035461
and ask:0.000240096
the meals:6.1954e-05
on within:0.00155642
except locally:0.0178571
were a:0.00909091
lean back:1
черепаха почав:0.0263158
you grant:0.000418585
in naunton:0.000192753
не мовивши:0.0017452
scratching and:0.5
instant with:0.016129
quite at:0.00595238
children and:0.0987654
так налякалася:0.00787402
of sight:0.000854062
his case:0.00177384
puppy </s>:0.166667
hyde widdow:0.333333
breathing fast:0.25
алісі </s>:0.0454545
я вас:0.00393701
часто спричинювало:0.25
even their:0.00609756
made into:0.00626959
too was:0.00671141
до всяких:0.00512821
звідусіль </s>:1
гру сказала:0.5
he clutched:0.000415628
having said:0.00769231
distance that:0.047619
seems an:0.0487805
spinning wages:0.036036
them their:0.00323102
і щезла:0.00194553
берега за:0.5
looking hard:0.0116279
craft this:0.05
students came:0.111111
of loafer:0.000106758
_the story:0.0416667
cried holmes:0.0447761
герцогиня зробила:0.030303
обидва чаєпивці:0.333333
_refuge of:1
mosaic </s>:0.5
нею вона:0.0909091
колись почав:0.0909091
much fush:0.00321543
didn't </s>:0.111111
time resuming:0.00240385
hers that:0.0833333
за собою:0.00884956
making book:0.0105263
head sunk:0.00598802
all turned:0.00102041
goil and:0.5
rules relating:0.030303
ти або:0.0103093
гусінь сиділа:0.0357143
please would:0.0238095
own master:0.00512821
they carried:0.00118064
або щезаєш:0.0833333
and provision:0.000240096
again we:0.00420168
сичання </s>:1
sense of:0.517241
аніж мишу:1
<s> dashing:1.9734e-05
daytime and:1
<s> серйозно:1.9734e-05
this untimely:0.000762777
fool but:0.125
овва чудувалася:0.5
herself by:0.00555556
possessed of:0.26087
хмара </s>:1
girdlers and:0.111111
we dismissed:0.00119904
house but:0.0242215
яке сама:0.125
wringing his:0.166667
import his:0.5
rye salford:0.2
насуплена мов:1
_widow_ _seq:1
the priesthood:0.000123908
королева насуплена:0.0196078
what year:0.00152672
би пояснила:0.04
may prove:0.0142518
руки стояла:0.0666667
common weal_:0.0102041
a time:0.0028946
growing </s>:0.115385
та вони:0.00854701
years we:0.00657895
ніч так:0.25
eyelids were:0.5
contractors to:0.333333
agreement the:0.0535714
paumes that:1
та вдасться:0.00854701
<s> servannte:1.9734e-05
travelled far:0.333333
charter and:0.142857
з величезною:0.00393701
running him:0.0740741
її під:0.0104167
коли тут:0.0113636
нескінченній гостині:1
<s> _licensed:1.9734e-05
диких звірів:1
герцогиня змовкла:0.030303
any theories:0.00172712
pupil in:0.5
his religious:0.000443459
превеликий алісин:0.5
as himself:0.000911162
мо </s>:0.5
was impossible:0.00124533
<s> unwillingly:1.9734e-05
subject to:0.301887
a pale:0.000170271
the punctuated:6.1954e-05
би свині:0.04
annie </s>:0.2
<s> sudbury:3.9468e-05
well knit:0.00266667
police who:0.0166667
him nor:0.00127551
<s> gibbs:3.9468e-05
реєстр співаків:1
side as:0.0149254
thus month:0.00793651
не світи:0.0017452
вона дещо:0.00352113
so by:0.00261438
що починає:0.00257732
norfolk concerning:0.0909091
think at:0.00469484
підборіддям </s>:0.333333
the brilliancy:6.1954e-05
persistence of:1
long is:0.011236
герцогиня ще:0.030303
ми знову:0.0384615
still stir:0.00561798
sell meat:0.0120482
духу </s>:0.25
<s> purse:1.9734e-05
саме в:0.0416667
confusing thing:0.333333
вона його:0.00352113
besides iiijs:0.0344828
в роті:0.00452489
фей </s>:1
magic _boston:0.25
few athletic:0.00746269
more rapid:0.0019802
забракло духу:1
policeman standing:0.2
voice but:0.0212766
правда не:0.111111
this little:0.00152555
but surely:0.000723589
wandes so:1
зрозуміти про:0.5
не відмовився:0.0017452
my suggestion:0.00170503
holmes during:0.00273973
<s> і:0.00146031
damage to:0.125
вголос у:0.125
fairly proof:0.0625
wandering grains:0.111111
is likened:0.000512558
and proceeded:0.000120048
creatures you:0.0909091
траву </s>:1
with if:0.000488043
це вголос:0.00680272
знайти відповідь:0.25
soule and:1
under these:0.0120482
народження </s>:1
who manage:0.00129534
дарунків не:1
within thy:0.00740741
daresay it's:0.125
посхоплювалися і:1
remarked because:0.0227273
is made:0.00563813
your paper:0.00371747
злості коли:1
яка щедра:0.0434783
mault could:0.5
procured with:0.25
the path:0.000495632
бо дурний:0.0196078
but acquired:0.000723589
тобі все:0.0416667
<s> burning:3.9468e-05
and let:0.00144058
панував такий:0.5
was open:0.001868
extraordinary than:0.025
who tells:0.00129534
as weavers_:0.000455581
столі біля:0.333333
вона сказав:0.00352113
герцогиня мораль:0.030303
known _boston:0.0196078
<s> згори:1.9734e-05
holds as:0.142857
не завдавайте:0.0017452
мені чи:0.0185185
на коліна:0.00294118
organized under:0.428571
бо серед:0.0196078
hardly enough:0.0140845
estate they:0.0571429
розохотилась запишалася:1
<s> crowd:5.9202e-05
терпіння </s>:1
проти того:0.333333
asked her:0.0075188
poor little:0.030303
ekshitet at:1
departure of:0.142857
circumstances in:0.0333333
нитку </s>:1
вхопити нитку:0.333333
rat hole:0.166667
how could:0.0250784
and yᵉ:0.000120048
an air:0.00697674
of mine:0.00117434
and revised:0.000240096
черепаха тобто:0.0263158
productive whether:0.02
take me:0.03
kick a:0.25
_the midwives:0.0625
історію цього:0.125
здаватися іншим:1
equal </s>:0.0625
вийняла з:0.5
ти здавався:0.0103093
золотко сон:0.25
soul about:0.0344828
скрізь оці:0.333333
narrated in:1
sword bearer:0.2
проте на:0.0588235
sir would:0.0070922
band which:0.25
earth to:0.0454545
здатися іншим:1
може здатися:0.04
taté </s>:0.666667
give almes:0.00684932
майже всіх:0.0666667
зробити реверанс:0.166667
<s> slowly:9.86699e-05
the verses:0.000185862
driest thing:1
his view:0.000443459
або простіше:0.0833333
as manye:0.000455581
не стало:0.0034904
or six:0.000809061
mine lord:0.0357143
нрав і:1
protected </s>:0.1875
овочу нрав:1
the dozen:6.1954e-05
were both:0.00272727
its tongue:0.00398406
great ease:0.00460829
sometimes </s>:0.137255
admirable portrayal:0.2
soon whirling:0.0133333
кожному овочу:0.5
_business_ on:0.333333
гру </s>:0.5
мені мороки:0.0185185
mary was:0.0327869
б тримала:0.0175439
герцогиня звідси:0.0606061
feet i:0.0344828
just opposite:0.00537634
вискочив із:1
wages when:0.00995025
parts which:0.05
схожа але:1
www.gutenberg.org you:0.111111
who practise:0.00259067
не схожа:0.0017452
his wet:0.000443459
transportation </s>:0.333333
her sonne:0.000520291
of being:0.00160137
good people:0.00355872
employing women:0.333333
на овоч:0.00294118
i determined:0.00112139
маленької дівчинки:1
у море:0.011976
to those:0.00164091
injuries to:0.5
<s> чия:3.9468e-05
сподіваюся чула:0.5
head with:0.0179641
only last:0.00241546
exaggerated affection:0.2
<s> bristol:1.9734e-05
gathered at:0.1
щоправда на:0.25
which touched:0.00066313
two sobs:0.00266667
permission of:0.433333
retailing this:0.2
овоч </s>:0.666667
here called:0.00392157
аліса гірчиця:0.00263852
bestowed a:0.333333
you wouldn't:0.00125576
would get:0.003367
жару ми:1
<s> difficulty:0.000118404
wondering martyrlike:0.0769231
знаю вигукнула:0.047619
had imprudently:0.000584795
walked along:0.0454545
<s> narrowness:1.9734e-05
whether forward:0.0114943
by william:0.00116959
was raised:0.000311333
experiences and:0.166667
me help:0.00119617
brewars but:0.25
розі </s>:1
outburst rather:0.333333
by diligent:0.000584795
запорошиш око:1
driven into:0.0714286
and chaff:0.000120048
semitic naturally:0.333333
farmer’s housekeeping:0.25
високо запорошиш:0.333333
його голова:0.0138889
begged the:0.222222
be herself:0.000667111
дуже хвацько:0.0294118
them sweet:0.00161551
office was:0.0338983
є великі:0.0588235
<s> wall:3.9468e-05
вийти незгірші:0.333333
аліса вмовкла:0.00263852
правда сказав:0.111111
happiness </s>:0.5
the crimson:6.1954e-05
and holmes:0.000360144
під горою:0.0322581
<s> ordayned:1.9734e-05
finance to:0.5
had stopped:0.00175439
величносте почав:0.1
that shall:0.00119439
sentence three:0.0526316
hurried out:0.0769231
on businesh:0.00077821
afterwards </s>:0.0952381
interrupted in:0.181818
called for:0.0246914
grief shall:0.0909091
am in:0.0298507
i seem:0.000560695
тут неподалік:0.0131579
місце шалений:0.166667
and narrative:0.000120048
словом тут:0.166667
але ми:0.00970874
making savage:0.0105263
question but:0.0128205
whistle a:0.2
firth </s>:1
останні п'ятдесят:0.25
юнак до:1
thinking again:0.0333333
clerk said:0.0666667
spinning was:0.0540541
була погоджуватися:0.03125
worn over:0.0833333
fee </s>:0.0666667
so short:0.00130719
disposal and:0.333333
здавалося ладна:0.1
brewsters for:0.333333
real murderer:0.0526316
curving path:0.25
told you:0.266667
притакнула герцогиня:0.5
floored fit:1
stop in:0.0588235
up my:0.00750469
ninety six:0.333333
ну звісно:0.04
dart right:1
глибокодумно відповів:0.5
to talke:0.000136743
right foot:0.00649351
зовсім неподібній:0.0526316
in midsummer:0.000192753
jury consider:0.04
trophies of:0.5
особливо мелена:0.5
хвилин аліса:0.111111
гірчиця особливо:0.25
with old:0.000976086
suspect some:0.2
some students:0.0018622
exhortation to:0.5
former helps:0.0217391
now wished:0.00244499
of singers:0.000106758
висловлюватися </s>:1
зумисне заповзялися:0.333333
pan after:1
his chronicler:0.000443459
ти вмієш:0.0103093
forceps which:0.5
рекомендуючись незнайомим:1
question </s>:0.294872
manufactory of:0.1
та чашку:0.00854701
not attended:0.000711744
таки слушно:0.0714286
trial one:0.0769231
їй було:0.0131579
<s> знов:1.9734e-05
птиця зауважила:1
angrily really:0.0909091
worcestershire hist:0.5
of mulberry:0.000106758
гірчиця не:0.25
she collapsed:0.000580383
boxes in:0.333333
come up:0.0401338
time who:0.00240385
child's features:1
tuson of:0.5
oth gif:1
daily advertiser:0.05
<s> гірчиця:1.9734e-05
not entirely:0.00284698
you finished:0.000418585
моє горло:0.25
an opening:0.00116279
й тихіше:0.0035461
vid his:0.142857
dishes and:0.25
це птиці:0.00680272
perfectly certain:0.0434783
pen of:0.111111
company ordained:0.00689655
form if:0.0204082
left handers:0.0121212
a naturalness:0.000170271
than what:0.00508906
can't have:0.0333333
<s> твоя:1.9734e-05
confusion as:0.142857
she petitioned:0.000580383
from inspector:0.000931099
monopoly were:0.0434783
were probably:0.00272727
witness said:0.0454545
and credite:0.000120048
ви надалі:0.0217391
know who:0.021148
have by:0.00338295
обіймів </s>:1
а які:0.00398406
the star:0.000185862
мерсійський та:1
не прагнучи:0.0017452
schemes for:0.666667
серед яких:0.111111
голову і:0.0322581
recounting than:1
анітрохи не:1
yarne is:0.111111
shalbe called:0.125
to go:0.00806782
to half:0.000273486
added do:0.0172414
<s> hallway:1.9734e-05
mad you:0.0333333
мовчанки річ:1
<s> wevers:1.9734e-05
yet safe:0.00537634
of game:0.000213516
other bill:0.00181488
уявити </s>:0.333333
visiting </s>:0.4
robert hassard:0.0952381
draw inferences:0.05
growing ascendancy:0.0384615
holmes rubbed:0.00273973
lashed the:0.333333
plates and:0.4
my door:0.000852515
озвалася герцогиня:0.166667
обійму тебе:1
united </s>:0.12963
profanely </s>:1
bright and:0.08
sexual and:0.5
a soldier:0.000170271
premises the:0.142857
story has:0.0117647
alive with:0.0666667
пильнувати звик:0.5
мораль хто:0.125
within herself:0.00740741
the napoleon:6.1954e-05
fool and:0.125
houses my:0.0178571
gorgeous too:0.5
their numbers:0.00196271
підборіддям алісі:0.333333
shoulders above:0.0384615
a gap:0.000170271
associates with:0.333333
аліса вже:0.00791557
<s> operations:3.9468e-05
defence of:0.272727
герцогиня впинаючись:0.030303
women’s interests:0.011236
established one:0.125
та як:0.00854701
один і:0.05
вирок повторив:0.25
carrying clubs:0.0526316
to chicago:0.000410228
глузд загалом:0.333333
пхати носа:1
another confusion:0.0070922
course the:0.0410959
<s> cheeriness:1.9734e-05
still more:0.0505618
що найголовніше:0.00257732
a matter:0.0028946
<s> unscrupulous:1.9734e-05
authorities like:0.0714286
more soldiers:0.0019802
до другого:0.00512821
other threatens:0.00181488
їй аліса:0.0131579
to hind:0.000136743
cloth 16s:0.00729927
сонько спроквола:0.0357143
insult </s>:0.5
не щипалися:0.0017452
<s> rome:1.9734e-05
looked surprised:0.00847458
finger on:0.0526316
his acquaintance:0.000886918
pray don't:0.0454545
series of:0.625
haue thy:0.037037
glance out:0.04
неправильно його:0.333333
sport among:0.5
дехто ж:0.333333
their labour:0.0157017
congratulated himself:0.333333
думала бідна:0.1
plea that:0.2
always a:0.0520833
door presented:0.00515464
крутить світом:0.333333
poore on:0.0327869
event with:0.0666667
had emulated:0.000584795
a deep:0.00136217
and completely:0.000240096
universals but:1
fear there:0.0227273
his misfortune:0.000443459
єдина крутить:0.5
story a:0.0117647
true significance:0.016129
підтримати розмову:1
imagine his:0.0294118
<s> mark:5.9202e-05
lip her:0.222222
sincire and:1
хоч якось:0.0588235
spectacles and:0.75
artistic and:0.25
голови не:0.0555556
long ringlets:0.00561798
seen them:0.047619
вір але:0.5
own was:0.0102564
two dyed:0.00266667
copernicus </s>:1
_hotspur_ bound:0.5
щоб хоч:0.030303
їм стала:0.0625
katherine barnaby:0.166667
робили дванадцятого:0.5
здається гра:0.1
who notifies:0.00388601
тобі свою:0.0416667
секрет бережіть:1
secret at:0.0294118
докинув грифон:0.5
могла </s>:0.0714286
not marked:0.000711744
up now:0.00375235
the various:0.000247816
зали </s>:0.5
як могла:0.00537634
justice before:0.0769231
чемною тож:0.5
розтлумачити вірш:1
church was:0.027027
no wound:0.00130719
підряд королю:1
eyes carefully:0.00680272
<s> цікаве:1.9734e-05
gitl that:0.0181818
pass that:0.0769231
що вдієш:0.00257732
_an anachronism_:0.142857
вона зволить:0.00352113
happens not:0.0909091
women worthy:0.00147929
mouse in:0.0454545
полізе в:0.5
as ofte:0.000455581
a bored:0.000340541
диво гостре:0.2
perhaps it:0.0972222
about baker:0.00244499
<s> reasonable:1.9734e-05
frightened all:0.0714286
urged her:0.125
grew more:0.136364
друге її:0.25
previous occupation:0.0909091
навіть її:0.0344828
the two:0.00353138
висіли мапи:1
violence on:0.142857
goldfish she:0.5
or children:0.00323625
to herself:0.0057432
за істота:0.00884956
<s> _memoirs:5.9202e-05
the frog:6.1954e-05
itself round:0.0222222
the smaller:0.000185862
another woman:0.035461
та зразу:0.00854701
civilians and:0.5
apprentices with:0.0163934
war this:0.0714286
mycroft lodges:0.0434783
<s> breeding:1.9734e-05
accuracy by:0.333333
перше герцогиня:0.2
thinks that:0.333333
father thinke:0.0104167
husband’s absence:0.0447761
pig head:0.0666667
isn't </s>:0.125
him on:0.00510204
близькості по:1
<s> взяти:1.9734e-05
stem and:0.333333
for 1s:0.000372717
during diocesan:0.00884956
такої близькості:0.5
від такої:0.0188679
merge imperceptibly:1
the sense:0.000185862
you being:0.000418585
third 20ᵗʰˡʸ:0.0227273
захваті від:1
ним балакати:0.0833333
в захваті:0.00452489
плачем </s>:1
not there:0.00213523
втямить хто:1
i'll go:0.0222222
swooning to:1
library taken:0.111111
moment however:0.0238095
кудись дійти:0.5
one avice:0.00111235
not know:0.00427046
mentally stuck:0.2
small foxy:0.00854701
delivered if:0.0555556
will mr:0.0021978
ляси це:0.25
здивованим виразом:1
<s> circumscribing:1.9734e-05
приміром коли:1
warranty or:0.5
<s> group:5.9202e-05
stands absolutely:0.111111
вже було:0.0428571
_tour de:1
many references:0.00425532
пригадаю </s>:1
manifest </s>:1
and regaled:0.000120048
appealed to:0.6
in four:0.000385505
забула яка:0.166667
crumpled piece:0.5
astute a:1
мораль </s>:0.125
the screw:6.1954e-05
alone during:0.0217391
is asleep:0.00102512
майданчика </s>:0.75
і всі:0.0116732
outcome of:0.5
проковтнула </s>:0.5
entered harvard:0.0151515
extreme measure:0.0909091
спав на:0.25
любонько що:0.5
vivid imagination:0.142857
foinitsha by:1
уявлення про:0.2
задумалася любонько:1
овець а:1
of doores:0.000106758
me and:0.0490431
<s> knows:3.9468e-05
general air:0.015873
corporation and:0.0285714
traditions was:0.125
так задумалася:0.00787402
sir then:0.0070922
venom her:1
powerful of:0.0625
above this:0.0135135
i hope:0.0058873
parker confessed:0.0833333
знайдене </s>:1
заєць ніби:0.037037
самого вуха:1
morals </s>:0.25
skill in:0.222222
як пиріг:0.00537634
room i:0.0318182
mock </s>:0.0517241
energy in:0.0285714
gold is:0.03125
a strike:0.000170271
everybody minded:0.0833333
in seventeenth:0.00077101
коли біля:0.0113636
he kicked:0.000415628
the stormy:6.1954e-05
neighbour to:0.214286
лісу </s>:0.333333
may elect:0.00712589
we read:0.00359712
miles away:0.0588235
noe more:0.0714286
на цукерки:0.00294118
gryphon added:0.0181818
most women:0.00413223
magistrates of:0.111111
eat a:0.1
her though:0.000520291
six of:0.0454545
усе на:0.0588235
скупі на:1
вийду </s>:0.333333
який наспівували:0.0384615
не такі:0.0017452
<s> вірші:1.9734e-05
in surgery:0.000192753
been awake:0.00134771
rather malicious:0.0075188
between them:0.0458015
woman_ p:1
інакше були:0.166667
knot and:0.125
знають інакше:1
добре бачила:0.142857
tapped on:0.25
щодо тебе:0.333333
break through:0.0714286
люди цього:0.166667
розумною швидкістю:1
rising up:0.0526316
gardeners but:0.125
with safeguards:0.000488043
she inquired:0.00116077
міркувати як:0.5
shoulder and:0.0714286
chimney has:0.125
revenge </s>:0.333333
apprenticeship _seq:0.0243902
бідний носик:0.2
солодкі пресолодкі:1
his fortunate:0.000443459
when seven:0.00153139
although one:0.0227273
fishmongers company:0.4
and poor:0.000360144
запихають сонька:1
pictures were:0.0769231
better one:0.00952381
<s> full:0.000236808
work they:0.00486618
було дуже:0.0263158
yosselé joined:0.0625
стають солодкі:0.5
flame in:0.166667
be almost:0.000667111
цукерок діти:1
питимуть чай:1
avenue and:0.0833333
bunetzky </s>:1
карамелі чи:1
morning jake:0.0117647
мешкала в:1
apprentices at:0.0163934
securely </s>:1
half shut:0.015625
herself it:0.00555556
коридором з:1
dipped it:0.4
that like:0.000597193
<s> martindale:5.9202e-05
full health:0.00980392
she began:0.0069646
я почувалася:0.00393701
european vogue:0.5
починаєш усім:1
plans and:0.4
whether a:0.0114943
від кориці:0.0188679
writing busily:0.025641
whisked round:0.5
a display:0.000170271
make herself:0.00465116
therefore very:0.0108696
it takes:0.0013267
there's more:0.0416667
example to:0.025641
нове правило:1
і аліса:0.00972763
keg in:1
attempt </s>:0.1
buzzed and:1
of instructions:0.000106758
yorkshire atkinson:0.0588235
us three:0.00340136
made good:0.0031348
great surprise:0.0138249
abruptness of:1
distribute copies:0.157895
it unto:0.000331675
elms and:0.333333
що відкрила:0.00257732
curling his:0.333333
technical objection:0.0769231
when within:0.00153139
podkovnik you:0.0625
саме від:0.0416667
faint at:0.111111
his district:0.000443459
was only:0.00809465
lord </s>:0.130435
<s> papers:3.9468e-05
join </s>:0.125
<s> frightened:5.9202e-05
paper in:0.0258621
belongeth by:1
in prison:0.000192753
updated april:0.4
смачна й:1
naysh a:1
peered while:0.333333
<s> fine:5.9202e-05
the assemblage:0.000123908
спитала </s>:0.105263
був король:0.0285714
home she:0.0172414
john _account:0.0155039
turtle's </s>:0.5
далі й:0.0227273
mortal dread:0.333333
artifice to:1
кухні ані:0.25
had squandered:0.000584795
adventures recorded:0.0666667
way did:0.00352113
мерщій податися:0.25
в себе:0.00452489
триматиму в:1
now it:0.0171149
hanged and:0.333333
герцогинею сказала:1
the weasel:6.1954e-05
я буду:0.00393701
відповідь зовсім:0.125
foreseen his:0.5
practising the:0.666667
pottage wednesday:0.25
the ears:0.000185862
herself very:0.0111111
brethren </s>:0.2
слухаймо тебе:1
depicted upon:0.333333
на кухні:0.00588235
spindle as:1
friends wherever:0.030303
вигляд наче:0.2
coin from:0.25
art wakéd:0.0169492
shrimp could:1
brilliant departure:0.125
<s> printers:7.89359e-05
кролик до:0.0263158
гості приходив:0.5
trotting along:0.5
зняла з:1
to woking:0.000546971
due register:0.025
am principally:0.00497512
and maintaining:0.000120048
lot o:0.142857
доброму гуморі:1
interests external:0.0555556
very centre:0.00344828
pains or:0.0666667
to by:0.00109394
first click:0.00363636
frantic sextet:0.25
<s> bacon:9.86699e-05
приємно бачити:1
fits i:0.25
scarlet and:0.4
так я:0.00787402
<s> nancy:1.9734e-05
вона така:0.00352113
towards solving:0.0151515
відкашлюванням ги:1
unto </s>:0.0961538
lobsters out:0.142857
ah it:0.0363636
руку й:0.142857
thy law:0.030303
liue and:0.5
то тим:0.00840336
time but:0.0120192
беручи алісу:1
horse was:0.047619
we've heard:0.5
and train:0.000120048
be making:0.00133422
words that:0.0352941
course </s>:0.123288
highwaies and:1
and whittled:0.000120048
зустріти ясочко:1
ever but:0.00689655
рада знов:0.142857
<s> придушити:1.9734e-05
того повів:0.0416667
решта гостей:0.333333
as waiter:0.000455581
знайшов що:0.142857
their men:0.000981354
business this:0.0052356
thousands of:0.727273
поцікавився той:0.25
<s> dwellinge:1.9734e-05
beatitude </s>:1
the crystal:6.1954e-05
predictions had:1
my relations:0.000852515
for fright:0.000372717
a girl:0.00136217
<s> правда:7.89359e-05
don't you:0.103448
faithfully as:0.166667
герцогиню від:0.25
parchment scroll:0.5
yourself not:0.0232558
that queer:0.000298597
with edgar:0.000488043
his clandestine:0.000443459
printed </s>:0.137931
mouths so:0.25
голова почала:0.1
marshy bottom:1
still conveyed:0.00561798
have maintained:0.00067659
так хутко:0.00787402
а котяча:0.00398406
try </s>:0.0967742
butchers brewers:0.0769231
аліса вжахнулася:0.00263852
<s> firth:1.9734e-05
<s> reele:1.9734e-05
which to:0.00331565
and repeat:0.000240096
not fret:0.000711744
кат помчав:0.333333
companion who:0.027027
<s> tobin:1.9734e-05
хто питала:0.0222222
manufactory p:0.1
desperation and:1
ката веди:0.25
and cowed:0.000120048
the trading:6.1954e-05
lord durham’s:0.0144928
до ката:0.00512821
бо ніяка:0.0196078
give the:0.0821918
low hurried:0.0192308
the heavens:6.1954e-05
й усе:0.0035461
ґратами сказала:1
i don:0.000560695
за ґратами:0.00884956
прочитав </s>:0.5
це були:0.00680272
we needed:0.00119904
his relations:0.000443459
dessert made:0.5
come yet:0.00334448
а бачили:0.00796813
all souls:0.00102041
подив герцогиня:0.333333
extinguished the:1
починається з:0.333333
rage and:0.25
майже півтораста:0.0666667
нею </s>:0.0909091
<s> milliner’s:1.9734e-05
дерев'яними лопатками:1
sake i:0.0526316
належить герцогині:0.5
money for:0.0526316
кориці починаєш:1
<s> origin:1.9734e-05
я так:0.015748
a superb:0.000170271
those instances:0.00505051
stone would:0.04
and wardens:0.000480192
weighed upon:1
її звучав:0.0104167
always run:0.0104167
й пояснює:0.0035461
до одного:0.00512821
a challenge:0.000170271
lipped smile:0.5
всіх до:0.1
grame for:1
accepting an:0.25
і звеліла:0.00194553
горло всіх:0.166667
her placid:0.000520291
you fail:0.000418585
на уроках:0.00294118
and cannot:0.000480192
версії її:1
proofreading team:1
and imaginative:0.000120048
men had:0.00766284
installment man:0.333333
my adventures:0.000852515
rule that:0.0526316
thatch </s>:0.5
ваш стук:0.25
правда ж:0.222222
perhaps have:0.0138889
із якої:0.0243902
when </s>:0.0673813
вона скарає:0.00352113
cellier speaks:0.0714286
her life_:0.00104058
дверцята до:0.142857
<s> pint:1.9734e-05
woman whom:0.00746269
ніж уже:0.0625
of idea:0.000106758
і перемовлялись:0.00194553
<s> public:0.00019734
family must:0.00425532
most for:0.00413223
аліса рвучко:0.00263852
case with:0.0360825
коли питання:0.0113636
complained of:0.4
статечно курила:0.5
taken into:0.0173913
seats of:0.571429
the watchman:6.1954e-05
last is:0.00520833
доводила що:1
<s> required:7.89359e-05
whose families:0.0126582
пхав свого:1
carnation etc:1
мабуть нечасто:0.0384615
кротів </s>:1
clothiers have:0.0526316
бачити таку:0.142857
proof watson:0.111111
alice you:0.00249377
remark said:0.05
the distaff:0.000123908
а королева:0.00398406
годі молоти:0.0666667
uses it:0.333333
my agent:0.000852515
<s> running:9.86699e-05
earner’s wife:0.2
<s> attended:3.9468e-05
of pugnacity:0.000106758
<s> _class:1.9734e-05
королеви голосом:0.0909091
має голову:0.142857
significance in:0.142857
них поцілили:0.0333333
and journeys:0.000120048
the wake:6.1954e-05
королева відпровадиш:0.0196078
якого ката:0.1
повернуся залізницею:1
<s> perhaps:0.00039468
на якого:0.00294118
так солодко:0.00787402
man leaned:0.00236407
королева на:0.0196078
good school:0.00355872
and thirty:0.000120048
his native:0.000443459
вишукано вбраний:1
coin on:0.25
смішна сказав:1
old condition:0.0049505
room on:0.00909091
turning purple:0.030303
збирається на:1
surreptitiously and:1
<s> pale:5.9202e-05
